,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23
1737810974,,,,,,,,,,,,,,,,0.36662704384392075,,,,,,,,
1736056995,,,,,,,,,0.22455561069842897,,,,,,,,,,,,,,,
1736035573,,,0.21434939971751413,,,,,,,,,,,,,,,,,,,,,
1737056773,,,,,,,,,,,,,,,,,,,,,,,0.33033410879967856,
1737088272,,,,,,,,0.29627255014556864,,,,,,,,,,,,,,,,
1736047275,,,,,,0.9776085692025274,,,,,,,,,,,,,,,,,,
1735802773,,,,,,,,,,0.1869470363316367,,,,,,,,,,,,,,
1737645973,,,,,,,,,,,,,,,,,,0.1842923783986582,,,,,,
1736015837,,,,,,,,,,,,,,,,,,,,,,0.18274238782051283,,
1737726495,,,,,,,,,,,,,,,,,0.3111747205099815,,,,,,,
1736831717,,,,,,,,0.45429308133615287,,,,,,,,,,,,,,,,
1737786497,,,,,,,,,0.3868747064976093,,,,,,,,,,,,,,,
1736336007,,,,,,,,,,,,,,,0.15819963912116605,,,,,,,,,
1737875417,,,,,,,,,,0.4761369215334699,,,,,,,,,,,,,,
1737424638,,,,,0.28456355380473164,,,,,,,,,,,,,,,,,,,
1736025731,,,,,,,,,,,,,,,,,,,,,,,,0.19463469022673188
1738188256,0.5376044989010444,,,,,,,,,,,,,,,,,,,,,,,
1737558077,,,,,,,,,,,,,,,,,,0.30161528636380824,,,,,,
